"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.723203130E-1,-2.609080970E-1,8.942596912E-1,1.529064178E-1
7.773203130E-1,-3.998337090E-1,8.229618073E-1,1.268272400E-1
7.823203130E-1,-5.588278770E-1,5.884754658E-1,9.098052979E-3
7.873203130E-1,-6.492574811E-1,3.639309406E-1,7.811927795E-2
7.923203130E-1,-6.000733376E-1,2.346463203E-1,1.633520126E-1
7.973203130E-1,-5.389152765E-1,1.863694191E-1,2.631931305E-1
8.023203130E-1,-5.385254025E-1,1.723818779E-1,3.425865173E-1
8.073203130E-1,-5.174700618E-1,2.863378525E-1,3.393239975E-1
8.123203130E-1,-5.664772391E-1,3.736655712E-1,3.898658752E-1
8.173203130E-1,-6.219397783E-1,4.603264332E-1,4.514608383E-1
8.223203130E-1,-6.477208734E-1,5.687100887E-1,4.630832672E-1
8.273203130E-1,-6.992757916E-1,6.753797531E-1,4.039325714E-1
8.323203130E-1,-7.784230709E-1,7.967660427E-1,3.578109741E-1
8.373203130E-1,-8.073824644E-1,9.108603001E-1,3.665781021E-1
8.423203130E-1,-8.322376013E-1,1.011969090E0,4.559097290E-1
8.473203130E-1,-8.234338760E-1,1.103205204E0,5.775680542E-1
8.523203130E-1,-8.854993582E-1,1.085705280E0,7.225332260E-1
8.573203130E-1,-9.743202329E-1,1.031660557E0,8.669281006E-1
8.623203130E-1,-7.621511221E-1,9.950442314E-1,8.802957535E-1
8.673203130E-1,-5.420207977E-1,9.807848930E-1,8.932704926E-1
8.723203130E-1,-3.383982182E-1,8.618934155E-1,9.081850052E-1
8.773203130E-1,-2.905815542E-1,6.648504734E-1,8.725795746E-1
8.823203130E-1,-2.276497334E-1,4.018745422E-1,7.972030640E-1
8.873203130E-1,-8.308738470E-2,1.337499619E-1,6.072244644E-1
8.923203130E-1,-3.769142553E-2,-3.327965736E-2,6.080121994E-1
8.973203130E-1,-5.339944363E-2,-3.465799093E-1,2.603683472E-1
9.023203130E-1,-5.564699695E-2,-6.475995779E-1,3.027038574E-1
9.073203130E-1,-4.979512468E-2,-6.469891071E-1,2.284822464E-1
9.123203130E-1,1.259175539E-1,-6.134537458E-1,5.201816559E-2
9.173203130E-1,2.399334013E-1,-5.541704893E-1,-8.623886108E-2
9.223203130E-1,3.413645923E-1,-4.751468897E-1,-2.895736694E-1
9.273203130E-1,2.819621563E-1,-4.862583876E-1,-2.567338943E-1
9.323203130E-1,2.957988083E-1,-4.624601603E-1,-3.364019394E-1
9.373203130E-1,1.185305119E-1,-4.160127640E-1,-3.214702606E-1
9.423203130E-1,4.567077756E-2,-2.956647873E-1,2.077102661E-3
9.473203130E-1,4.438152909E-2,-1.000177860E-1,2.226696014E-1
9.523203130E-1,-5.720190704E-2,5.292797089E-2,2.310743332E-1
9.573203130E-1,-3.002259135E-2,4.261231422E-2,3.779478073E-1
9.623203130E-1,-4.804921895E-2,9.096932411E-2,3.664226532E-1
9.673203130E-1,-7.518187165E-2,1.712193489E-1,3.294467926E-1
9.723203130E-1,-6.852585077E-2,3.360693455E-1,3.555889130E-1
9.773203130E-1,-8.645837009E-2,3.640947342E-1,3.174695969E-1
9.823203130E-1,-9.873661399E-2,3.548493385E-1,3.568906784E-1
9.873203130E-1,-1.715750620E-2,2.822070122E-1,3.910398483E-1
9.923203130E-1,2.815551683E-2,1.854200363E-1,4.133081436E-1
9.973203130E-1,-8.189964574E-4,1.356761456E-1,4.059514999E-1
1.002320313E0,5.553416908E-2,9.060025215E-2,3.441467285E-1
1.007320313E0,1.926966570E-2,1.916527748E-2,3.041973114E-1
1.012320313E0,2.817667462E-2,-6.389522552E-2,2.989797592E-1
1.017320313E0,7.760451734E-2,-1.267510653E-1,2.281579971E-1
1.022320313E0,9.717370570E-2,-1.771394014E-1,1.083793640E-1
1.027320313E0,5.114946887E-2,-2.183163166E-1,1.040744781E-2
1.032320313E0,7.013367116E-2,-2.137832642E-1,-8.227252960E-2
1.037320313E0,9.833896905E-2,-1.742455959E-1,-1.919727325E-1
1.042320313E0,1.410770565E-1,-8.861613274E-2,-2.741355896E-1
1.047320313E0,1.718596518E-1,5.176067352E-3,-2.707843781E-1
1.052320313E0,1.669388562E-1,5.080080032E-2,-2.729663849E-1
1.057320313E0,1.668849438E-1,8.888459206E-2,-2.104158401E-1
1.062320313E0,1.652100384E-1,9.870266914E-2,-1.390447617E-1
