"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.464538102E2,6.508478397E1,2.568485512E1,4.571163196E1,1.580000043E0,1.950000000E1,3.790092468E0,2.500000000E0
1.474534880E2,6.508479746E1,2.568486521E1,4.591469253E1,1.539999962E0,1.660000038E1,3.790092468E0,2.500000000E0
1.484536056E2,6.508481048E1,2.568487764E1,4.590400795E1,1.529999971E0,1.920000076E1,3.790092468E0,2.500000000E0
1.494528406E2,6.508482385E1,2.568489056E1,4.589600881E1,1.519999981E0,2.070000076E1,3.790092468E0,2.500000000E0
1.504532740E2,6.508483597E1,2.568490261E1,4.587604709E1,1.470000029E0,2.179999924E1,3.790092468E0,2.500000000E0
1.514530306E2,6.508484858E1,2.568491298E1,4.596045548E1,1.519999981E0,2.079999924E1,3.790092468E0,2.500000000E0
1.524532696E2,6.508486186E1,2.568492196E1,4.595758354E1,1.539999962E0,1.789999962E1,3.790092468E0,2.500000000E0
1.534537680E2,6.508487539E1,2.568493248E1,4.596746781E1,1.549999952E0,1.870000076E1,3.790092468E0,2.500000000E0
1.544537793E2,6.508488868E1,2.568494269E1,4.610369492E1,1.580000043E0,1.779999924E1,3.790092468E0,2.500000000E0
1.554532582E2,6.508490184E1,2.568495209E1,4.631475121E1,1.559999943E0,1.729999924E1,3.790092468E0,2.500000000E0
1.564532325E2,6.508491492E1,2.568496213E1,4.647099791E1,1.580000043E0,1.770000076E1,3.790092468E0,2.500000000E0
1.574537584E2,6.508492877E1,2.568497344E1,4.649321116E1,1.590000033E0,1.800000000E1,3.790092468E0,2.500000000E0
1.584534994E2,6.508494314E1,2.568498424E1,4.678922806E1,1.570000052E0,1.720000076E1,3.790092468E0,2.500000000E0
1.594534882E2,6.508495724E1,2.568499423E1,4.693235198E1,1.580000043E0,1.539999962E1,3.790092468E0,2.500000000E0
1.604528760E2,6.508497114E1,2.568500507E1,4.701810286E1,1.559999943E0,1.739999962E1,3.790092468E0,2.500000000E0
1.614536863E2,6.508498542E1,2.568501599E1,4.704556508E1,1.620000005E0,1.710000038E1,3.790092468E0,2.500000000E0
1.624536767E2,6.508499916E1,2.568502730E1,4.693704105E1,1.590000033E0,1.700000000E1,3.790092468E0,2.500000000E0
1.634534474E2,6.508501309E1,2.568503640E1,4.687417142E1,1.580000043E0,1.560000038E1,3.790092468E0,2.500000000E0
1.644529731E2,6.508502573E1,2.568504615E1,4.688637526E1,1.539999962E0,1.679999924E1,3.790092468E0,2.500000000E0
1.654536098E2,6.508503884E1,2.568505513E1,4.698384515E1,1.519999981E0,1.779999924E1,3.790092468E0,2.500000000E0
1.664536192E2,6.508505213E1,2.568506359E1,4.709327794E1,1.519999981E0,1.689999962E1,3.790092468E0,2.500000000E0
1.674531760E2,6.508506610E1,2.568507162E1,4.722822330E1,1.610000014E0,1.710000038E1,3.790092468E0,2.500000000E0
1.684532873E2,6.508508027E1,2.568508312E1,4.734601754E1,1.580000043E0,1.810000038E1,3.790092468E0,2.500000000E0
1.694537388E2,6.508509458E1,2.568509230E1,4.733716393E1,1.639999986E0,1.519999981E1,3.790092468E0,2.500000000E0
1.704535229E2,6.508510896E1,2.568510167E1,4.739477759E1,1.610000014E0,1.469999981E1,3.790092468E0,2.500000000E0
1.714534288E2,6.508512282E1,2.568511125E1,4.746093626E1,1.549999952E0,1.639999962E1,3.790092468E0,2.500000000E0
1.724532194E2,6.508513712E1,2.568512406E1,4.754326897E1,1.629999995E0,2.060000038E1,3.790092468E0,2.500000000E0
1.734536315E2,6.508515148E1,2.568513608E1,4.750713248E1,1.580000043E0,1.970000076E1,3.790092468E0,2.500000000E0
1.744535152E2,6.508516465E1,2.568514726E1,4.730974140E1,1.519999981E0,2.189999962E1,3.790092468E0,2.500000000E0
1.754536649E2,6.508517896E1,2.568515562E1,4.740391519E1,1.590000033E0,1.679999924E1,3.790092468E0,2.500000000E0
1.764532320E2,6.508519341E1,2.568516414E1,4.741227351E1,1.580000043E0,1.750000000E1,3.790092468E0,2.500000000E0
1.774533423E2,6.508520699E1,2.568517341E1,4.743296107E1,1.549999952E0,1.760000038E1,3.790092468E0,2.500000000E0
1.784530245E2,6.508522094E1,2.568518401E1,4.752115336E1,1.570000052E0,1.750000000E1,3.790092468E0,2.500000000E0
1.794537766E2,6.508523534E1,2.568519501E1,4.746835432E1,1.600000024E0,1.860000038E1,3.790092468E0,2.500000000E0
1.804531772E2,6.508524980E1,2.568520432E1,4.760867060E1,1.610000014E0,1.750000000E1,3.790092468E0,2.500000000E0
1.814535763E2,6.508526354E1,2.568521470E1,4.774019790E1,1.600000024E0,2.020000076E1,3.790092468E0,2.500000000E0
1.824529933E2,6.508527603E1,2.568522679E1,4.773970633E1,1.539999962E0,2.170000076E1,3.790092468E0,2.500000000E0
1.834535302E2,6.508528867E1,2.568523744E1,4.779506197E1,1.549999952E0,1.900000000E1,3.790092468E0,2.500000000E0
1.844532705E2,6.508530165E1,2.568524739E1,4.781574962E1,1.570000052E0,2.129999924E1,3.790092468E0,2.500000000E0
1.854533336E2,6.508531488E1,2.568525917E1,4.778516757E1,1.559999943E0,2.200000000E1,3.790092468E0,2.500000000E0
1.864528931E2,6.508532896E1,2.568527079E1,4.791059122E1,1.570000052E0,2.210000038E1,3.790092468E0,2.500000000E0
1.874537357E2,6.508534161E1,2.568528201E1,4.770624224E1,1.570000052E0,2.160000038E1,3.790092468E0,2.500000000E0
1.884531739E2,6.508535450E1,2.568529279E1,4.770184441E1,1.509999990E0,1.910000038E1,3.790092468E0,2.500000000E0
1.894537237E2,6.508536582E1,2.568530223E1,4.752917305E1,1.450000048E0,1.760000038E1,3.790092468E0,2.500000000E0
1.904528612E2,6.508537654E1,2.568531444E1,4.750060567E1,1.450000048E0,2.539999962E1,3.790092468E0,2.500000000E0
1.914532131E2,6.508538941E1,2.568532428E1,4.766631287E1,1.509999990E0,1.439999962E1,3.790092468E0,2.500000000E0
1.924531508E2,6.508540200E1,2.568531939E1,4.786186719E1,1.429999948E0,3.495000000E2,3.790092468E0,2.500000000E0
1.934532297E2,6.508541339E1,2.568530279E1,4.778105525E1,1.460000038E0,3.310000000E2,3.790092468E0,2.500000000E0
1.944530549E2,6.508542307E1,2.568527895E1,4.771672358E1,1.570000052E0,3.183999939E2,3.790092468E0,2.500000000E0
1.954536629E2,6.508543075E1,2.568525240E1,4.727110586E1,1.610000014E0,3.103999939E2,3.790092468E0,2.500000000E0
1.964530414E2,6.508543659E1,2.568522508E1,4.683903838E1,1.549999952E0,3.073999939E2,3.790092468E0,2.500000000E0
1.974535412E2,6.508544192E1,2.568519548E1,4.652159515E1,1.559999943E0,3.071000061E2,3.790092468E0,2.500000000E0
1.984536964E2,6.508544818E1,2.568516880E1,4.637535517E1,1.559999943E0,3.052000122E2,3.790092468E0,2.500000000E0
1.994528194E2,6.508545382E1,2.568514185E1,4.593077550E1,1.529999971E0,3.057000122E2,3.790092468E0,2.500000000E0
2.004534614E2,6.508545950E1,2.568511488E1,4.561906935E1,1.529999971E0,3.036000061E2,3.790092468E0,2.500000000E0
2.014538555E2,6.508546502E1,2.568508741E1,4.547661375E1,1.500000000E0,3.012000122E2,3.790092468E0,2.500000000E0
2.024535287E2,6.508547045E1,2.568505840E1,4.524309381E1,1.559999943E0,3.022999878E2,3.790092468E0,2.500000000E0
2.034532136E2,6.508547716E1,2.568503143E1,4.522606518E1,1.529999971E0,3.013999939E2,3.790092468E0,2.500000000E0
2.044537055E2,6.508548303E1,2.568500294E1,4.509795283E1,1.549999952E0,2.986000061E2,3.790092468E0,2.500000000E0
2.054535788E2,6.508548986E1,2.568497598E1,4.487322154E1,1.539999962E0,3.018999939E2,3.790092468E0,2.500000000E0
2.064529933E2,6.508549633E1,2.568494935E1,4.472051179E1,1.529999971E0,3.027000122E2,3.790092468E0,2.500000000E0
2.074528792E2,6.508550290E1,2.568492007E1,4.454668401E1,1.600000024E0,3.011000061E2,3.790092468E0,2.500000000E0
2.084532892E2,6.508550914E1,2.568489108E1,4.433477034E1,1.519999981E0,3.002999878E2,3.790092468E0,2.500000000E0
2.094534883E2,6.508551576E1,2.568486145E1,4.426177265E1,1.559999943E0,3.015000000E2,3.790092468E0,2.500000000E0
2.104536643E2,6.508552298E1,2.568483177E1,4.415160442E1,1.580000043E0,3.017000122E2,3.790092468E0,2.500000000E0
2.114534853E2,6.508552913E1,2.568480112E1,4.401183442E1,1.570000052E0,2.981000061E2,3.790092468E0,2.500000000E0
2.124528799E2,6.508553607E1,2.568477287E1,4.380303336E1,1.580000043E0,3.020000000E2,3.790092468E0,2.500000000E0
